番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
11,西　浩明,61,人事院事務総局人材局長,人事院,2022-12-12,2024-06-27,日本合成アルコール株式会社,工業用合成アルコールの製造、販売,取締役,無,無
12,一之瀬　徹,60,人事院事務総局関東事務局長,人事院,2024-03-31,2024-04-23,特定非営利活動法人アグリやさと,農業体験交流を通じた食と農の正しい理解の促進等,非常勤スタッフ,無,無
13,宮川　忠彰,60,人事院事務総局付,人事院,2024-03-31,2024-07-01,警察職員生活協同組合,警察職員の生活向上支援業務,審議役,無,無
14,平良　公孝,60,内閣府沖縄総合事務局陸運事務所長,内閣府,2023-03-31,2024-06-01,一般社団法人沖縄旅客船協会,旅客航路事業に関する啓蒙、指導並びに情報の収集及び頒布,専務理事 兼 事務局長,無,無
15,清水谷　諭,56,内閣府大臣官房,内閣府,2023-06-30,2024-04-01,国立大学法人名古屋大学,教育・研究,名古屋大学大学院国際開発研究科教授,無,無
16,鋤柄　卓夫,60,内閣府食品安全委員会事務局長,内閣府,2023-07-03,2024-06-27,一般社団法人日本養豚協会,養豚経営の安定と生産力の向上に関する事業等,専務理事,無,無
17,増島　稔,59,内閣府経済社会総合研究所長,内閣府,2023-07-04,2024-04-01,国立大学法人滋賀大学,教育・研究,国立大学法人滋賀大学特任教授（データサイエンス・AIイノベーション研究推進センター）,無,無
18,宮地　毅,61,内閣府迎賓館長,内閣府,2023-07-04,2024-06-01,全国市議会議長会,市議会議長相互間の連絡調整等,事務総長,無,無
19,大城　照彦,60,内閣府沖縄総合事務局開発建設部技術企画官,内閣府,2024-03-31,2024-07-01,大日本ダイヤコンサルタント株式会社,建設コンサルタント業,九州支社技師長（沖縄駐在）,無,無
20,大城　護,60,内閣府沖縄総合事務局開発建設部管理課長 併任 総務調整官,総務省,2024-03-31,2024-07-01,一般社団法人沖縄しまたて協会,国土の利用、整備、保全及び災害防止に係る業務の受託並びに支援に関する事業等,総務部上席参与,無,無
21,片山　朗,60,内閣府大臣官房企画調整課統計情報分析推進官（内閣府大臣官房サイバーセキュリティ・情報化審議官）,内閣府,2024-03-31,2024-04-01,学校法人村崎学園,教育・研究,徳島文理大学総合政策学部教授,無,無
