番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
805,村野　卓男,60,厚生労働省政策統括官（統計・情報システム管理、労使関係担当）調査官 併任 政策統括官付参事官（企画調整担当）付雇用・賃金福祉統計室,厚生労働省,2024-03-31,2024-05-01,公益財団法人安全衛生技術試験協会,労働安全衛生法等に基づく免許試験の試験実施業務,総務部次長,無,無
806,森　浩太郎,60,厚生労働省大臣官房付,厚生労働省,2024-03-31,2024-09-01,日本製薬工業協会,製薬産業に共通する諸問題の解決、理解促進等,部長（企画関係）,無,無
807,山出　佳秀,60,大阪労働局総務部総務調整官,総務省,2024-03-31,2024-07-01,公益社団法人大阪労働基準連合会,労働安全衛生法等に定める講習、教育事業、労働基準関係法令の普及啓発事業、労働保険事務組合事業,総務経理部長,無,無
808,山本　麻里,60,厚生労働省大臣官房付,厚生労働省,2024-03-31,2025-03-26,株式会社バリューHR,健康管理・増進支援サービスの提供,社外取締役,無,無
809,加賀山　成久,60,国立保健医療科学院総務部付,総務省,2024-04-01,2024-07-01,公益社団法人日本精神科病院協会,精神保健医療福祉に関する調査研究事業等,事務局長,無,無
810,中平　純一,60,国立感染症研究所総務部付,総務省,2024-04-01,2024-07-01,公益社団法人日本産婦人科医会,母子の生命健康の保護と女性の健康保持・増進等に関する事業等,事務局長,無,無
811,上野　清美,57,厚生労働省大臣官房付,厚生労働省,2024-06-30,2024-10-01,公益社団法人日本薬剤師会,薬学及び薬業の進歩発展、医薬品の適正使用等医療貢献、公衆衛生の普及・指導等に関する事業,参与,無,無
812,上野　清美,57,厚生労働省大臣官房付,厚生労働省,2024-06-30,2025-03-16,公益社団法人日本薬剤師会,薬学及び薬業の進歩発展、医薬品の適正使用等医療貢献、公衆衛生の普及・指導等に関する事業,専務理事（業務執行理事）,無,無
813,小椋　正之,55,厚生労働省医政局歯科保健課長,厚生労働省,2024-06-30,2024-07-16,医療法人社団正路会,歯科医療の提供,理事,無,無
814,小椋　正之,55,厚生労働省医政局歯科保健課長,厚生労働省,2024-06-30,2024-10-01,学校法人日本大学,教育・研究,松戸歯学部歯科医療管理学講座教授,無,無
815,阿部　充,60,厚生労働省大臣官房付,厚生労働省,2024-07-05,2024-11-01,一般財団法人建設業振興基金,建設産業の振興支援等に関する事業の実施,建設キャリアアップシステム事業本部審議役（労働環境改善担当）,無,無
816,荒木　祥一,59,厚生労働省大臣官房付,厚生労働省,2024-07-05,2024-11-01,佐川急便株式会社,運送業,顧問,無,無
817,大島　一博,60,厚生労働事務次官,厚生労働省,2024-07-05,2024-11-01,株式会社国際社会経済研究所,情報社会に関する調査研究,理事,無,無
818,大島　一博,60,厚生労働事務次官,厚生労働省,2024-07-05,2024-11-01,株式会社社会政策研究所,社会政策に関する調査研究及びコンサルティング,代表取締役,無,無
819,大鶴　知之,59,厚生労働省大臣官房付,厚生労働省,2024-07-05,2025-01-06,社会医療法人弘恵会,医療事業,参与,無,無
820,釜石　英雄,59,厚生労働省大臣官房付,厚生労働省,2024-07-05,2024-11-01,建設業労働災害防止協会,建設業の労働災害防止に関する事業,技術総轄審議役,無,無
821,河野　典厚,59,厚生労働省大臣官房付,厚生労働省,2024-07-05,2024-10-07,日本ジェネリック製薬協会,ジェネリック医薬品の安定供給・品質確保等に関する業務,専務理事,無,有※
822,鈴木　英二郎,59,厚生労働省労働基準局長,厚生労働省,2024-07-05,2024-11-01,東京海上日動火災保険株式会社,損害保険業,顧問,無,無
823,得津　馨,59,近畿厚生局長,厚生労働省,2024-07-05,2024-08-01,埼玉県,地方公務,草加保健所長,無,無
824,美濃　芳郎,59,厚生労働省大臣官房付,厚生労働省,2024-07-05,2024-10-01,三井住友海上火災保険株式会社,保険業,顧問,無,無
825,西岡　隆,52,厚生労働省大臣官房付,厚生労働省,2024-09-13,2025-01-20,臼杵市,地方公務,市長,無,無
826,小野寺　徳子,58,厚生労働省大臣官房付,厚生労働省,2024-12-01,2025-03-23,小野寺のりこ事務所,コンサルティング業,代表,無,無
827,飯髙　悟,59,農林水産省大臣官房政策課政策情報分析官（農林水産省大臣官房付）,農林水産省,2017-09-30,2019-06-26,公益財団法人畜産近代化リース協会,畜産振興上必要な機械・施設等の貸付け等,理事長,無,無
828,小山　富美男,59,林野庁林政部林政課林業・木材産業情報分析官（林野庁国有林野部付）,林野庁,2020-03-31,2020-07-01,全国国有林造林生産業連絡協議会,造林業及び素材生産業に係る要望活動、会員に対する技術研修会の開催等,一般職員,無,無
829,小山　富美男,59,林野庁林政部林政課林業・木材産業情報分析官（林野庁国有林野部付）,林野庁,2020-03-31,2021-05-20,全国国有林造林生産業連絡協議会,造林業及び素材生産業に係る要望活動、会員に対する技術研修会の開催等,専務理事,無,無
830,小山　富美男,59,林野庁林政部林政課林業・木材産業情報分析官（林野庁国有林野部付）,林野庁,2020-03-31,2021-05-20,全国素材生産業協同組合連合会,会員の取り扱う立木の協同購買、協同販売、事業に必要な機械器具類の協同購買に関しての情報の提供、指導等,専務理事,無,無
831,本郷　浩二,61,林野庁長官,林野庁,2021-07-01,2021-11-18,全国木材協同組合連合会,会員に対する研修、調査情報事業等,副会長 兼 専務理事,無,無
832,枝元　真徹,61,農林水産事務次官,農林水産省,2022-06-28,2024-04-01,辻・本郷税理士法人,税理士業,顧問,無,無
833,長野　麻子,50,農林水産省大臣官房新事業・食品産業部新事業・食品産業政策課長,農林水産省,2022-06-28,2024-06-25,株式会社極洋,水産品の貿易、加工、買い付け等,社外取締役,無,無
834,中村　道人,60,近畿中国森林管理局次長,林野庁,2022-06-30,2024-05-16,一般社団法人全国木材組合連合会,木材利用及び木材産業に関する調査研究、普及等,常務理事,無,無
835,中村　道人,60,近畿中国森林管理局次長,林野庁,2022-06-30,2024-05-16,全国木材協同組合連合会,会員に対する研修、調査情報事業等,常務理事,無,無
836,越智　洋介,58,水産庁増殖推進部参事官,水産庁,2022-07-31,2024-06-26,一般社団法人漁業情報サービスセンター,漁況・海況等漁業に必要な情報の収集、処理提供及び技術開発,専務理事,無,無
837,青木　正伸,60,中部森林管理局木曽森林管理署長,林野庁,2023-03-31,2024-04-01,塩尻市役所,地方公務,会計年度任用職員,無,無
838,犬塚　昌良,60,関東農政局統計部長,農林水産省,2023-03-31,2024-09-01,一般社団法人外国人食品産業技能評価機構,外国人特定技能制度及び外国人技能実習制度それぞれの技能評価試験の実施,外国人支援担当マネージャー,無,有
839,宇野　正巳,60,関東森林管理局棚倉森林管理署長,林野庁,2023-03-31,2024-06-01,トコスカーサポート株式会社,セルフスタンドにおける監視業務、店舗管理業務、接客業務,東京第三支店契約社員,無,無
840,片桐　薫,60,東海農政局次長,農林水産省,2023-03-31,2024-05-01,一般社団法人日本植物油協会,植物油の製造及び加工の改善に関する業務等,参与,無,無
841,片桐　薫,60,東海農政局次長,農林水産省,2023-03-31,2024-05-22,一般社団法人日本植物油協会,植物油の製造及び加工の改善に関する業務等,専務理事,無,無
842,神井　弘之,56,農林水産省大臣官房付,農林水産省,2023-03-31,2024-04-01,愛媛県,地方公務,政策アドバイザー,無,無
843,小薗　正典,60,農林水産省輸出・国際局総務課国際情報分析官 兼 農林水産省輸出・国際局国際経済課付（農林水産省大臣官房国際部国際経済課国際交渉官）,総務省,2023-03-31,2024-04-01,東アジア・アセアン経済研究センター（ERIA）,東アジア・アセアンの経済統合に関する研究、調査、政策提言等,シニア・ポリシー・フェロー,無,無
844,酒向　邦夫,60,近畿中国森林管理局石川森林管理署長,林野庁,2023-03-31,2024-07-01,名古屋造林素材生産事業協会,会員の技術の向上、労働安全の確保等に関する研修及び情報提供等,事務局長 兼 専務理事,無,無
845,佐藤　和正,60,東海農政局地方参事官,農林水産省,2023-03-31,2025-02-26,備中玉島湊鐡屋わたしのお茶事和佳,飲食店の経営,個人事業主,無,無
846,佐藤　裕一,60,北陸農政局生産部長,農林水産省,2023-03-31,2024-08-05,食品産業中央協議会,食品産業における各部門の連携及び重要な問題についての意見取りまとめ,嘱託職員,無,無
847,佐藤　裕一,60,北陸農政局生産部長,農林水産省,2023-03-31,2025-02-01,株式会社ハンズグローバル,登録支援業務、採用コンサル業務、教育支援業務、海外進出コンサル業務,一般社員（営業・人財コンサルタント）,無,無
848,澁谷　和彦,60,農林水産省農産局総務課会計室長,総務省,2023-03-31,2024-06-19,一般社団法人全国食糧保管協会,米麦の保管技術に関する調査研究、債務保証等,理事 兼 業務部長,無,無
849,原川　忠典,60,農林水産省農村振興局整備部付,農林水産省,2023-03-31,2024-06-19,株式会社農業土木会館,農業土木会館の管理及び運営等,取締役,無,無
850,平野　智巳,60,水産庁資源管理部国際課国際水産情報分析官（環境省水・大気環境局水環境課海洋環境室長）,水産庁,2023-03-31,2024-04-01,一般社団法人全国いか釣り漁業協会,いか釣り漁業に関する調査研究及び技術の向上等,嘱託職員（参与）,無,無
851,松岡　謙二,58,農林水産省農産局園芸作物課青果物生産流通消費情報分析官（中国四国農政局次長）,農林水産省,2023-03-31,2024-05-01,コロナ産業株式会社,装飾用電灯セット製造販売業,一般社員,無,無
852,松岡　謙二,58,農林水産省農産局園芸作物課青果物生産流通消費情報分析官（中国四国農政局次長）,農林水産省,2023-03-31,2024-05-01,脱炭素推進機構株式会社,コンサルタント業,契約社員（主任研究員）,無,無
853,松岡　謙二,58,農林水産省農産局園芸作物課青果物生産流通消費情報分析官（中国四国農政局次長）,農林水産省,2023-03-31,2024-05-01,自営,マンション管理組合に対する指導及び助言等,-,無,無
854,山根　勲,60,中国四国農政局地方参事官,農林水産省,2023-03-31,2024-05-01,一般財団法人日本穀物検定協会,農産物、飼料及び食品等の受渡し等の際の公正な検定、食品衛生に関する検査等,九州支部準職員,無,無
855,牛草　哲朗,60,農林水産省大臣官房審議官 兼 輸出・国際局付,農林水産省,2023-07-03,2024-06-21,輸入食糧協議会,主要食糧の生産・需要動向等に関する調査・研究、関係機関及び団体との連絡,理事（副会長 兼 事務局長）,無,無
856,伏見　啓二,60,農林水産省大臣官房審議官 兼 畜産局付,農林水産省,2023-07-03,2024-06-26,公益社団法人日本獣医師会,獣医師道の高揚、獣医事の向上、獣医学術の振興・調査研究、獣医学教育の充実、獣医師等の人材育成等,専務理事,無,無
857,安部　伸治,58,農林水産省農村振興局次長,農林水産省,2023-07-04,2024-05-30,一般財団法人日本水土総合研究所,農業農村整備事業及び農村振興に関する調査研究,理事,無,無
858,織田　央,60,林野庁長官,林野庁,2023-07-04,2024-08-22,公益社団法人国土緑化推進機構,緑の募金による森林の整備、緑化の推進及びそれらに関する国際協力,専務理事,無,無
859,神谷　崇,60,水産庁長官,水産庁,2023-07-04,2024-06-27,公益財団法人海洋生物環境研究所,沿岸海域等における環境、生物、生態系の維持・保全・利用に関する調査研究等,理事長,無,無
860,小林　勝利,59,東海農政局長,農林水産省,2023-07-11,2024-06-01,ヤマハ発動機株式会社,輸送機器製造販売等,顧問（非常勤）,無,無
861,坂本　修,59,農林水産省大臣官房付,農林水産省,2023-07-11,2024-05-16,一般社団法人日本フードサービス協会,フードサービス産業及び食生活の向上に関する情報の収集提供及び広報等,専務理事,無,無
862,出倉　功一,59,近畿農政局付,農林水産省,2023-07-18,2024-04-01,一般社団法人日本冷凍食品協会,冷凍食品の調査及び研究、品質向上、普及広報に関する事業等,顧問,無,無
863,出倉　功一,59,近畿農政局付,農林水産省,2023-07-18,2024-05-22,一般社団法人日本冷凍食品協会,冷凍食品の調査及び研究、品質向上、普及広報に関する事業等,専務理事,無,無
864,増田　直弘,59,農林水産省大臣官房検査・監察部長,農林水産省,2023-09-30,2024-04-01,公益財団法人競馬保安協会,競馬の公正確保のために必要な調査、保安活動並びに情報及び資料の収集,理事,無,無
865,遠藤　順也,58,四国森林管理局長,林野庁,2023-12-31,2024-05-30,公益社団法人食品容器環境美化協会,食品容器の散乱防止の啓発普及、助成等,専務理事,無,無
866,高橋　孝雄,59,農林水産政策研究所長,農林水産省,2023-12-31,2024-04-01,公益財団法人畜産近代化リース協会,畜産振興上必要な機械・施設等の貸付け等,参与,無,無
867,高橋　孝雄,59,農林水産政策研究所長,農林水産省,2023-12-31,2024-06-27,公益財団法人畜産近代化リース協会,畜産振興上必要な機械・施設等の貸付け等,理事長,無,無
868,宮澤　俊輔,58,東北森林管理局長,林野庁,2023-12-31,2024-06-05,公益財団法人日本住宅・木材技術センター,木材利用技術の開発・普及と関連産業の活性化,理事長,無,無
869,足立　健一,60,農林水産省農村振興局整備部設計課海外農業農村開発情報分析官（東海農政局矢作川総合第二期農地防災事業所長）,農林水産省,2024-03-31,2024-09-01,日本施設管理株式会社,ダム等の管理業務及びコンサルタント業務,顧問,無,無
870,足立　健一,60,農林水産省農村振興局整備部設計課海外農業農村開発情報分析官（東海農政局矢作川総合第二期農地防災事業所長）,農林水産省,2024-03-31,2024-10-01,日本施設管理株式会社,ダム等の管理業務及びコンサルタント業務,代表取締役,無,無
871,家元　隆佳,60,北陸農政局河北潟周辺農地防災事業所長,農林水産省,2024-03-31,2024-07-01,鹿島建設株式会社,建設・開発・設計・エンジニアリング事業等,北陸支店土木部担当部長（金沢営業所駐在）,無,無
872,井川　範彦,60,東海農政局矢作川総合第二期農地防災事業所長,農林水産省,2024-03-31,2024-10-01,岩田地崎建設株式会社,建設業,東京支店技術顧問,無,無
873,石垣　英司,59,農林水産省大臣官房政策課政策情報分析官 兼 水産庁増殖推進部栽培養殖課付（四国森林管理局長）,林野庁,2024-03-31,2024-06-20,一般財団法人畜産環境整備機構,畜産経営、食肉・生乳流通等の環境整備のために必要な施設等の貸付け等に係る事業,常務理事,無,無
874,今井　浩人,60,水産庁資源管理部漁業取締課外国漁船対策室長,水産庁,2024-03-31,2024-10-01,国立研究開発法人新エネルギー・産業技術総合開発機構,新エネルギーや産業技術力の強化等の技術開発マネージメント等,バイオ・材料部専門調査員,無,有※
875,今泉　裕治,60,中部森林管理局長,林野庁,2024-03-31,2024-08-22,公益社団法人国土緑化推進機構,緑の募金による森林の整備、緑化の推進及びそれらに関する国際協力,常務理事（事業担当）,無,無
876,江坂　文寿,60,関東森林管理局次長,林野庁,2024-03-31,2024-06-01,一般社団法人林道安全協会,林道等の通行に関する安全管理業務、指導啓発活動等,専務理事,無,無
877,江坂　文寿,60,関東森林管理局次長,林野庁,2024-03-31,2024-07-01,一般社団法人全国森林土木建設業協会,森林土木事業の技術開発、労働安全の確保等に関する調査研究及び指導普及等,専務理事,無,無
878,大竹　武司,60,林野庁林政部林政課管理官,林野庁,2024-03-31,2024-07-01,一般財団法人日本森林林業振興会,林業・森林の調査、森林の評価、森林の利活用関連業務、森林林業用資材等の販売,東京支部長,無,有
879,大本　修,60,近畿農政局南近畿土地改良調査管理事務所長,農林水産省,2024-03-31,2024-07-01,若鈴コンサルタンツ株式会社,建設コンサルタント,技術顧問,無,無
880,岡田　靖志,60,北海道森林管理局留萌北部森林管理署長,林野庁,2024-03-31,2024-07-01,一般財団法人日本森林林業振興会,林業・森林の調査、森林の評価、森林の利活用関連業務、森林林業用資材等の販売,札幌支部函館支所主幹,無,有
881,小原　英一,60,農林水産省大臣官房予算課経理調査官,農林水産省,2024-03-31,2024-07-01,公益社団法人日本食肉協議会,食肉の生産、流通及び消費並びに食肉に関する情報の提供及び知識の普及・啓発に係る事業,参与,無,無
882,梶岡　雅人,60,北海道森林管理局根釧西部森林管理署長,林野庁,2024-03-31,2024-07-01,一般財団法人日本森林林業振興会,林業・森林の調査、森林の評価、森林の利活用関連業務、森林林業用資材等の販売,札幌支部帯広支所長,無,有
883,片山　宏文,60,近畿中国森林管理局鳥取森林管理署長,林野庁,2024-03-31,2024-07-01,一般財団法人日本森林林業振興会,林業・森林の調査、森林の評価、森林の利活用関連業務、森林林業用資材等の販売,大阪支部森林調査部長,無,有
884,勝部　剛,60,東海農政局地方参事官,農林水産省,2024-03-31,2024-05-21,島根県農業協同組合,営農指導、農産物の販売、信用・共済事業等,斐川地区本部社員,無,無
885,加藤　公平,60,農林水産省大臣官房付 兼 復興庁福島復興局次長,復興庁,2024-03-31,2024-07-16,株式会社三祐コンサルタンツ,農業農村開発等に係る企画・設計等のコンサルティング業務,東京支社常務執行役員,無,無
886,上　練三,60,林野庁林政部林政課林業・木材産業情報分析官 兼 林野庁国有林野部経営企画課付（北海道森林管理局長）,林野庁,2024-03-31,2024-06-01,日本合板工業組合連合会,合板産業の発展に向けた事業の実施、会員及びその組合員の経営の安定と合理化の推進,専務理事 兼 事務局長,無,無
887,河崎　真佐志,60,北海道森林管理局渡島森林管理署長,林野庁,2024-03-31,2024-06-01,岩倉建設株式会社,建設事業,技術顧問,無,無
888,川田　良浩,59,動物検疫所羽田空港支所長,厚生労働省,2024-03-31,2024-06-18,一般社団法人ジャパンケネルクラブ,犬籍登録、展覧会・競技会等に関する事業,専務理事,無,無
889,川村　文洋,60,東北農政局農村振興部長,農林水産省,2024-03-31,2024-07-01,一般財団法人日本水土総合研究所,農業農村整備事業及び農村振興に関する調査研究,主席研究員 兼 調査研究部長,無,無
890,北川　剛,60,東北農政局河南二期農業水利事業所長,農林水産省,2024-03-31,2024-08-01,日本振興株式会社,建設コンサルタント,名古屋支店農水事業部技師長,無,無
891,桑原　耕一,60,農林水産省農村振興局整備部付,農林水産省,2024-03-31,2024-09-01,株式会社丸島アクアシステム,鋼構造物製造等,東京支店技術顧問,無,無
892,小鷲　博之,60,農林水産省大臣官房検査・監察部調整・監察課会計監査室長,農林水産省,2024-03-31,2024-06-01,一般財団法人都市農山漁村交流活性化機構,都市と農山漁村の交流促進、農山漁村地域の活性化に関する調査研究・開発、普及啓発等,総務部長（嘱託）,無,無
893,齋藤　伸,60,中国四国農政局付,農林水産省,2024-03-31,2024-07-01,一般社団法人地域環境資源センター,水と土の循環維持、水質保全、農村環境等に関する調査研究、普及啓発等,農村環境部長,無,無
894,佐藤　敏郎,60,九州森林管理局北薩森林管理署長,林野庁,2024-03-31,2024-07-01,九州国有林林業生産協会,会員の技術の向上、労働安全衛生の確保等を図るための研修及び情報の提供,専務理事,無,無
895,東海林　見,60,東北森林管理局岩手北部森林管理署長,林野庁,2024-03-31,2024-07-01,一般財団法人日本森林林業振興会,林業・森林の調査、森林の評価、森林の利活用関連業務、森林林業用資材等の販売,青森支部総務部長代理（主席）,無,有
896,白山　幸一,60,農林水産省農村振興局整備部設計課農村資源情報分析官（東北農政局土地改良技術事務所長）,農林水産省,2024-03-31,2024-07-01,若築建設株式会社,公共事業等の土木工事に係る技術指導,常任顧問,無,無
897,進藤　惣治,60,農林水産省農村振興局整備部付,農林水産省,2024-03-31,2024-04-01,国立研究開発法人国際農林水産業研究センター,熱帯及び亜熱帯に属する地域その他開発途上地域における農林水産業に関する技術向上のための試験研究等,特別研究員,無,無
898,神馬　勇雄,60,中国四国農政局吉井川農業水利事業所長,農林水産省,2024-03-31,2024-07-01,株式会社熊谷組,総合建設業,東北支店技術推進部長,無,無
899,髙橋　東,60,中部森林管理局次長,林野庁,2024-03-31,2024-07-01,一般財団法人日本森林林業振興会,林業・森林の調査、森林の評価、森林の利活用関連業務、森林林業用資材等の販売,前橋支部長,無,有
900,髙橋　徹,60,近畿農政局土地改良技術事務所長,農林水産省,2024-03-31,2024-07-01,一般財団法人日本水土総合研究所,農業農村整備事業及び農村振興に関する調査研究,主席研究員,無,無
901,武森　美紀男,60,北海道森林管理局空知森林管理署長,林野庁,2024-03-31,2024-07-01,日本林業土木株式会社,森林・林業土木関係資材の販売等,札幌出張所長,無,無
902,塚田　孝二,60,農林水産研修所長,農林水産省,2024-03-31,2024-12-16,株式会社東急コミュニティー,マンション管理,渋谷支店嘱託,無,無
903,坪田　昇三,60,東北農政局総務部長,総務省,2024-03-31,2024-07-01,参議院議員宮崎雅夫事務所,国会業務,公設第1秘書,無,無
904,利根　基文,60,関東農政局利根川水系土地改良調査管理事務所長,農林水産省,2024-03-31,2024-11-25,一般社団法人日本養鶏協会,養鶏生産物の需給の安定、消費の促進及び養鶏に関する情報の収集、提供等の活動,業務第一部職員,無,無
905,仲澤　正,60,農林水産省大臣官房参事官,農林水産省,2024-03-31,2024-06-01,日本甘蔗糖工業会,甘蔗糖業の振興発展のための協力・調査研究等,事務局員（非常勤）,無,無
906,仲澤　正,60,農林水産省大臣官房参事官,農林水産省,2024-03-31,2024-07-30,日本甘蔗糖工業会,甘蔗糖業の振興発展のための協力・調査研究等,専務理事,無,無
907,中西　誠,59,林野庁林政部付,林野庁,2024-03-31,2024-05-01,一般社団法人林業機械化協会,林業の機械化の促進、森林・林業・環境技術の進歩・普及,総括技術調査役,無,有
908,中東　一,60,農林水産省大臣官房政策課政策情報分析官（東北農政局次長）,農林水産省,2024-03-31,2024-06-01,公益財団法人中央果実協会,果実の安定的な生産出荷及び果樹農家の経営の支援に関する事業等,審議役,無,無
909,西村　裕二,60,関東農政局消費・安全部長,農林水産省,2024-03-31,2024-09-01,全国米穀販売事業共済協同組合,米穀販売業者のための米穀及び関連商品の共同購入・販売、共済事業、事業に関する調査・研究等,業務部 兼 経営相談室主幹,無,無
910,根本　賢治,60,農林水産省経営局金融調整課金融調整官,農林水産省,2024-03-31,2024-07-01,公益社団法人中央畜産会,畜産経営の改善、安全な畜産物の生産、家畜衛生の向上,資金・経営対策部参与,無,無
911,廣川　一郎,60,関東農政局栃木南部農業水利事業所長,農林水産省,2024-03-31,2024-07-01,前田建設工業株式会社,建設事業等,北陸支店土木部部長（技術担当）,無,無
912,廣野　淳,60,水産庁増殖推進部漁場資源課漁業資源情報分析官 兼 水産庁増殖推進部研究指導課付（水産庁増殖推進部長）,水産庁,2024-03-31,2024-06-03,一般社団法人マリノフォーラム21,国内外の水産業の振興支援,技術顧問,無,無
913,廣野　淳,60,水産庁増殖推進部漁場資源課漁業資源情報分析官 兼 水産庁増殖推進部研究指導課付（水産庁増殖推進部長）,水産庁,2024-03-31,2024-06-18,一般社団法人マリノフォーラム21,国内外の水産業の振興支援,代表理事会長,無,無
914,福嶋　貢史,60,九州森林管理局宮崎南部森林管理署長,林野庁,2024-03-31,2024-05-01,林業・木材製造業労働災害防止協会,林業・木材製造業における安全衛生管理、安全衛生教育、調査研究及び労働災害防止広報普及事業,嘱託職員（安全管理士）,無,有
915,福田　一宏,60,北陸農政局信濃川水系土地改良調査管理事務所長,農林水産省,2024-03-31,2024-07-01,株式会社チェリーコンサルタント,建設コンサルタント,岡山支社顧問,無,無
916,藤原　達博,60,四国森林管理局四万十森林管理署長,林野庁,2024-03-31,2024-07-01,株式会社あすなろ,造林事業・林産事業・木材土場運営・林業資材販売,四国支社総務部長,無,無
917,松本　寛喜,60,近畿中国森林管理局次長,林野庁,2024-03-31,2024-04-15,宗教法人明治神宮,明治神宮の運営,管理部管理課林苑主任技師,無,無
918,森本　和則,60,北海道森林管理局留萌南部森林管理署長,林野庁,2024-03-31,2024-06-01,アサヒコンサルタント株式会社,測量業務、設計業務、補償業務,札幌支店参与,無,有
919,諸貫　秀樹,60,水産庁増殖推進部漁場資源課長,水産庁,2024-03-31,2024-06-01,一般社団法人日本トロール底魚協会,トロール漁業等に関する国際的な施策・動向の調査研究、国際漁業管理機関等との連携・協力の推進等,専務理事,無,無
920,吉永　俊郎,60,林野庁林政部付,林野庁,2024-03-31,2024-05-01,公益社団法人国土緑化推進機構,緑の募金による森林の整備、緑化の推進及びそれらに関する国際協力,調査役,無,無
921,渡部　博司,60,九州農政局総務部長,総務省,2024-03-31,2024-05-13,小湊鐵道株式会社,鉄道事業、旅客自動車運送業（乗合バス・観光バス）,嘱託（契約）社員（鉄道部運輸課）,無,無
922,櫻谷　満一,58,農林水産技術会議事務局研究調整課付,農林水産省,2024-06-18,2024-06-24,公立大学法人福井県立大学,教育・研究,福井県立大学リサーチ・アドミニストレータ―,無,無
923,赤﨑　暢彦,57,農林水産省大臣官房付,農林水産省,2024-07-05,2024-10-15,全国マヨネーズ・ドレッシング類協会,マヨネーズ・ドレッシング類を製造する会員企業相互の親睦、情報交換、調査、研究,相談役,無,無
924,赤﨑　暢彦,57,農林水産省大臣官房付,農林水産省,2024-07-05,2024-11-15,全国マヨネーズ・ドレッシング類協会,マヨネーズ・ドレッシング類を製造する会員企業相互の親睦、情報交換、調査、研究,専務理事,無,無
925,小川　良介,62,農林水産審議官,農林水産省,2024-07-05,2025-03-11,一般社団法人JA共済総合研究所,農山漁村地域住民の生命・財産の保障、事故予防等に関する調査・研究等,理事長,無,無
926,川合　規史,59,北陸農政局長,農林水産省,2024-07-05,2024-11-05,一般社団法人地域環境資源センター,水と土の循環維持、水質保全、農村環境等に関する調査研究、普及啓発等,総括技術監,無,無
927,熊谷　法夫,60,農林水産省大臣官房審議官 兼 消費・安全局付 兼 輸出・国際局付,農林水産省,2024-07-05,2024-11-26,全国酪農業協同組合連合会,会員農協や酪農家の経営管理・生産技術の指導、飼料等生産資材の提供、牛乳乳製品の製造販売等,専務理事,無,無
928,佐々木　明徳,59,関東農政局次長,農林水産省,2024-07-05,2024-11-01,株式会社大林組,国内外建設工事、地域開発・都市開発・海洋開発・環境整備に関する事業,土木本部参与,無,無
929,平形　雄策,60,農林水産省農産局長,農林水産省,2024-07-05,2024-12-01,日清製粉株式会社,業務用の小麦粉、ふすま、その他の加工品及び関連商材の製造・販売,アドバイザー（非常勤）,無,無
930,平形　雄策,60,農林水産省農産局長,農林水産省,2024-07-05,2025-01-01,株式会社極洋,水産品の貿易、加工、買い付け等,顧問,無,無
931,平形　雄策,60,農林水産省農産局長,農林水産省,2024-07-05,2025-02-26,イーサポートリンク株式会社,生鮮青果物等の流通・販売・生産の支援事業,社外監査役,無,無
932,水野　政義,58,農林水産省輸出・国際局長,農林水産省,2024-07-05,2024-11-01,日本中央競馬会,競馬の開催等,参与,無,無
933,村井　正親,58,農林水産省経営局長,農林水産省,2024-07-05,2025-02-01,株式会社農林中金総合研究所,調査研究,エグゼクティブ・アドバイザー（嘱託顧問）,無,無
934,矢野　彰宏,59,九州森林管理局長,林野庁,2024-07-05,2024-08-01,全国素材生産業協同組合連合会,会員の取り扱う立木の協同購買、協同販売、事業に必要な機械器具類の協同購買に関しての情報の提供、指導等,専務理事,無,無
935,矢野　彰宏,59,九州森林管理局長,林野庁,2024-07-05,2024-08-01,全国国有林造林生産業連絡協議会,造林業及び素材生産業に係る要望活動、会員に対する技術研修会の開催等,専務理事,無,無
936,山田　英也,60,農林水産省大臣官房統計部長,農林水産省,2024-07-05,2024-08-25,LEAFRU株式会社,農産物の栽培・加工・販売等,パートタイム,無,無
937,山田　英也,60,農林水産省大臣官房統計部長,農林水産省,2024-07-05,2024-12-01,公益財団法人飯島藤十郎記念食品科学振興財団,米麦等主要食糧に関する食品科学分野の学術研究助成,参事,無,無
938,日置　秀彦,58,農林水産省農村振興局付,農林水産省,2024-09-30,2025-02-01,一般社団法人農業土木事業協会,農業土木事業の計画設計・技術向上に関する調査研究等,技術顧問,無,無
939,北浦　眞吾,60,林野庁林政部林政課林業・木材産業情報分析官 兼 林野庁国有林野部業務課付（北海道森林管理局計画保全部調査官）,林野庁,2024-12-06,2024-12-07,日本林道協会,協会会員に対する技術指導及び助言等,企画部長,無,有
940,井　雄一郎,61,九州農政局農村振興部付（中国四国農政局中国土地改良調査管理事務所長）,農林水産省,2025-01-31,2025-02-05,産山村,地方公務,副村長,無,無
941,和地　真人,61,農林水産省大臣官房検査・監察部検査課検査官（農林水産省大臣官房検査・監察部検査課上席検査官）,農林水産省,2025-01-31,2025-02-01,なぎさ信用漁業協同組合連合会,金融業,嘱託職員,無,無
942,十時　憲司,55,経済産業省大臣官房付,経済産業省,2022-07-01,2024-04-01,川崎重工業株式会社,輸送用機器・産業用機器の開発・製造・販売,執行役員マーケティング・渉外本部長,無,無
